Gamma     = 0.99 , alpha    = 0.1 , episodes            = 50000
n actions = 3    , n states = 1089 , n state action pair = 3267

row	 	 x	 	 y	 	theta	 	actions	 	best action	 	Q Table
257	 	-5	 	4	 	0	 	2	 	0	 	 	-2.574
258	 	-5	 	4	 	0.7854	 	0	 	1	 	 	-3.105
259	 	-5	 	4	 	0.7854	 	1	 	1	 	 	30.38
260	 	-5	 	4	 	0.7854	 	2	 	1	 	 	-3.219
261	 	-5	 	4	 	1.571	 	0	 	1	 	 	-3.916
262	 	-5	 	4	 	1.571	 	1	 	1	 	 	25.53
263	 	-5	 	4	 	1.571	 	2	 	1	 	 	-3.901
264	 	-5	 	4	 	2.356	 	0	 	1	 	 	-8.16
265	 	-5	 	4	 	2.356	 	1	 	1	 	 	18.83
266	 	-5	 	4	 	2.356	 	2	 	1	 	 	-4.602
267	 	-5	 	4	 	3.142	 	0	 	1	 	 	-6.244
268	 	-5	 	4	 	3.142	 	1	 	1	 	 	7.203
269	 	-5	 	4	 	3.142	 	2	 	1	 	 	-7.946
270	 	-5	 	5	 	-3.142	 	0	 	2	 	 	-3.955
271	 	-5	 	5	 	-3.142	 	1	 	2	 	 	-3.548
272	 	-5	 	5	 	-3.142	 	2	 	2	 	 	14.62
273	 	-5	 	5	 	-2.356	 	0	 	2	 	 	-5.608
274	 	-5	 	5	 	-2.356	 	1	 	2	 	 	-2.983
275	 	-5	 	5	 	-2.356	 	2	 	2	 	 	27.77
276	 	-5	 	5	 	-1.571	 	0	 	2	 	 	-2.361
277	 	-5	 	5	 	-1.571	 	1	 	2	 	 	-2.347
278	 	-5	 	5	 	-1.571	 	2	 	2	 	 	32.78
279	 	-5	 	5	 	-0.7854	 	0	 	0	 	 	37.2
280	 	-5	 	5	 	-0.7854	 	1	 	0	 	 	-2.296
281	 	-5	 	5	 	-0.7854	 	2	 	0	 	 	-2.376
282	 	-5	 	5	 	0	 	0	 	1	 	 	-2.904
283	 	-5	 	5	 	0	 	1	 	1	 	 	34.38
284	 	-5	 	5	 	0	 	2	 	1	 	 	-2.968
285	 	-5	 	5	 	0.7854	 	0	 	1	 	 	-9.365
286	 	-5	 	5	 	0.7854	 	1	 	1	 	 	32.21
287	 	-5	 	5	 	0.7854	 	2	 	1	 	 	-3.612
288	 	-5	 	5	 	1.571	 	0	 	1	 	 	-10.54
289	 	-5	 	5	 	1.571	 	1	 	1	 	 	29.36
290	 	-5	 	5	 	1.571	 	2	 	1	 	 	-4.509
291	 	-5	 	5	 	2.356	 	0	 	1	 	 	-8.978
292	 	-5	 	5	 	2.356	 	1	 	1	 	 	25.45
293	 	-5	 	5	 	2.356	 	2	 	1	 	 	-5.176
294	 	-5	 	5	 	3.142	 	0	 	1	 	 	-9.629
295	 	-5	 	5	 	3.142	 	1	 	1	 	 	18.59
296	 	-5	 	5	 	3.142	 	2	 	1	 	 	-10.44
297	 	-4	 	-5	 	-3.142	 	0	 	2	 	 	-5.555
298	 	-4	 	-5	 	-3.142	 	1	 	2	 	 	-8.728
299	 	-4	 	-5	 	-3.142	 	2	 	2	 	 	8.444
300	 	-4	 	-5	 	-2.356	 	0	 	2	 	 	-10.12
301	 	-4	 	-5	 	-2.356	 	1	 	2	 	 	-5
302	 	-4	 	-5	 	-2.356	 	2	 	2	 	 	19.98
