Gamma     = 0.99 , alpha    = 0.1 , episodes            = 25000
n actions = 3    , n states = 441 , n state action pair = 1323

row	 	 x	 	 y	 	theta	 	actions	 	best action	 	Q Table
252	 	-1	 	-0.5	 	-0.7854	 	0	 	2	 	 	-1.52
253	 	-1	 	-0.5	 	-0.7854	 	1	 	2	 	 	-1.483
254	 	-1	 	-0.5	 	-0.7854	 	2	 	2	 	 	39.21
255	 	-1	 	-0.5	 	0	 	0	 	2	 	 	-1.235
256	 	-1	 	-0.5	 	0	 	1	 	2	 	 	-1.275
257	 	-1	 	-0.5	 	0	 	2	 	2	 	 	50.69
258	 	-1	 	-0.5	 	0.7854	 	0	 	0	 	 	55.22
259	 	-1	 	-0.5	 	0.7854	 	1	 	0	 	 	-1.157
260	 	-1	 	-0.5	 	0.7854	 	2	 	0	 	 	-1.07
261	 	-1	 	-0.5	 	1.571	 	0	 	1	 	 	-0.9818
262	 	-1	 	-0.5	 	1.571	 	1	 	1	 	 	42.45
263	 	-1	 	-0.5	 	1.571	 	2	 	1	 	 	-1.026
264	 	-1	 	-0.5	 	2.356	 	0	 	0	 	 	40.82
265	 	-1	 	-0.5	 	2.356	 	1	 	0	 	 	-1.742
266	 	-1	 	-0.5	 	2.356	 	2	 	0	 	 	-1.846
267	 	-1	 	-0.5	 	3.142	 	0	 	1	 	 	-2.302
268	 	-1	 	-0.5	 	3.142	 	1	 	1	 	 	34.87
269	 	-1	 	-0.5	 	3.142	 	2	 	1	 	 	-2.997
270	 	-1	 	0	 	-3.142	 	0	 	0	 	 	0
271	 	-1	 	0	 	-3.142	 	1	 	0	 	 	0
272	 	-1	 	0	 	-3.142	 	2	 	0	 	 	0
273	 	-1	 	0	 	-2.356	 	0	 	0	 	 	0
274	 	-1	 	0	 	-2.356	 	1	 	0	 	 	0
275	 	-1	 	0	 	-2.356	 	2	 	0	 	 	0
276	 	-1	 	0	 	-1.571	 	0	 	0	 	 	0
277	 	-1	 	0	 	-1.571	 	1	 	0	 	 	0
278	 	-1	 	0	 	-1.571	 	2	 	0	 	 	0
279	 	-1	 	0	 	-0.7854	 	0	 	0	 	 	0
280	 	-1	 	0	 	-0.7854	 	1	 	0	 	 	0
281	 	-1	 	0	 	-0.7854	 	2	 	0	 	 	0
282	 	-1	 	0	 	0	 	0	 	0	 	 	0
283	 	-1	 	0	 	0	 	1	 	0	 	 	0
284	 	-1	 	0	 	0	 	2	 	0	 	 	0
285	 	-1	 	0	 	0.7854	 	0	 	0	 	 	0
286	 	-1	 	0	 	0.7854	 	1	 	0	 	 	0
287	 	-1	 	0	 	0.7854	 	2	 	0	 	 	0
288	 	-1	 	0	 	1.571	 	0	 	0	 	 	0
289	 	-1	 	0	 	1.571	 	1	 	0	 	 	0
290	 	-1	 	0	 	1.571	 	2	 	0	 	 	0
291	 	-1	 	0	 	2.356	 	0	 	0	 	 	0
292	 	-1	 	0	 	2.356	 	1	 	0	 	 	0
293	 	-1	 	0	 	2.356	 	2	 	0	 	 	0
294	 	-1	 	0	 	3.142	 	0	 	0	 	 	0
295	 	-1	 	0	 	3.142	 	1	 	0	 	 	0
296	 	-1	 	0	 	3.142	 	2	 	0	 	 	0
297	 	-1	 	0.5	 	-3.142	 	0	 	2	 	 	-2.383
298	 	-1	 	0.5	 	-3.142	 	1	 	2	 	 	-2.997
299	 	-1	 	0.5	 	-3.142	 	2	 	2	 	 	36.65
300	 	-1	 	0.5	 	-2.356	 	0	 	2	 	 	-1.794
301	 	-1	 	0.5	 	-2.356	 	1	 	2	 	 	-1.737
302	 	-1	 	0.5	 	-2.356	 	2	 	2	 	 	42.45
303	 	-1	 	0.5	 	-1.571	 	0	 	2	 	 	-0.9282
304	 	-1	 	0.5	 	-1.571	 	1	 	2	 	 	-0.9562
305	 	-1	 	0.5	 	-1.571	 	2	 	2	 	 	47.17
306	 	-1	 	0.5	 	-0.7854	 	0	 	2	 	 	-1.137
307	 	-1	 	0.5	 	-0.7854	 	1	 	2	 	 	-1.054
308	 	-1	 	0.5	 	-0.7854	 	2	 	2	 	 	50.87
309	 	-1	 	0.5	 	0	 	0	 	2	 	 	-0.8733
310	 	-1	 	0.5	 	0	 	1	 	2	 	 	-0.8953
311	 	-1	 	0.5	 	0	 	2	 	2	 	 	53.49
312	 	-1	 	0.5	 	0.7854	 	0	 	0	 	 	56.37
313	 	-1	 	0.5	 	0.7854	 	1	 	0	 	 	-0.7666
314	 	-1	 	0.5	 	0.7854	 	2	 	0	 	 	-0.7694
315	 	-1	 	0.5	 	1.571	 	0	 	1	 	 	-0.7176
316	 	-1	 	0.5	 	1.571	 	1	 	1	 	 	50.79
317	 	-1	 	0.5	 	1.571	 	2	 	1	 	 	-0.7729
318	 	-1	 	0.5	 	2.356	 	0	 	1	 	 	-1.34
319	 	-1	 	0.5	 	2.356	 	1	 	1	 	 	44.08
320	 	-1	 	0.5	 	2.356	 	2	 	1	 	 	-1.319
321	 	-1	 	0.5	 	3.142	 	0	 	1	 	 	-1.681
322	 	-1	 	0.5	 	3.142	 	1	 	1	 	 	35.35
323	 	-1	 	0.5	 	3.142	 	2	 	1	 	 	-1.999
324	 	-1	 	1	 	-3.142	 	0	 	0	 	 	0
325	 	-1	 	1	 	-3.142	 	1	 	0	 	 	0
326	 	-1	 	1	 	-3.142	 	2	 	0	 	 	0
327	 	-1	 	1	 	-2.356	 	0	 	0	 	 	0
328	 	-1	 	1	 	-2.356	 	1	 	0	 	 	0
