Gamma     = 0.99 , alpha    = 0.1 , episodes            = 30000
n actions = 3    , n states = 504 , n state action pair = 1512

row	 	 x	 	 y	 	theta	 	actions	 	best action	 	Q Table
348	 	-6	 	3	 	3.142	 	0	 	0	 	 	23.55
349	 	-6	 	3	 	3.142	 	1	 	0	 	 	-4.255
350	 	-6	 	3	 	3.142	 	2	 	0	 	 	-4.99
351	 	-6	 	3.5	 	-3.142	 	0	 	2	 	 	-1.54
352	 	-6	 	3.5	 	-3.142	 	1	 	2	 	 	-1.999
353	 	-6	 	3.5	 	-3.142	 	2	 	2	 	 	40.04
354	 	-6	 	3.5	 	-2.356	 	0	 	0	 	 	49.14
355	 	-6	 	3.5	 	-2.356	 	1	 	0	 	 	-1.169
356	 	-6	 	3.5	 	-2.356	 	2	 	0	 	 	-1.194
357	 	-6	 	3.5	 	-1.571	 	0	 	0	 	 	46.58
358	 	-6	 	3.5	 	-1.571	 	1	 	0	 	 	-1.372
359	 	-6	 	3.5	 	-1.571	 	2	 	0	 	 	-1.455
360	 	-6	 	3.5	 	-0.7854	 	0	 	1	 	 	-1.945
361	 	-6	 	3.5	 	-0.7854	 	1	 	1	 	 	32.74
362	 	-6	 	3.5	 	-0.7854	 	2	 	1	 	 	-2.005
363	 	-6	 	3.5	 	0	 	0	 	0	 	 	47.52
364	 	-6	 	3.5	 	0	 	1	 	0	 	 	-2.804
365	 	-6	 	3.5	 	0	 	2	 	0	 	 	-2.93
366	 	-6	 	3.5	 	0.7854	 	0	 	1	 	 	-4.242
367	 	-6	 	3.5	 	0.7854	 	1	 	1	 	 	43.39
368	 	-6	 	3.5	 	0.7854	 	2	 	1	 	 	-3.724
369	 	-6	 	3.5	 	1.571	 	0	 	1	 	 	-4.913
370	 	-6	 	3.5	 	1.571	 	1	 	1	 	 	38.32
